epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
0,49,,,2.8698573112487793,,,
0,99,,,2.348309278488159,,,
0,149,,,1.7435784339904785,,,
0,199,,,1.3950234651565552,,,
0,249,,,1.0416967868804932,,,
0,299,,,0.9644714593887329,,,
0,349,,,0.721717357635498,,,
0,399,,,0.4569053649902344,,,
0,449,,,0.7869579792022705,,,
0,499,,,0.5254934430122375,,,
0,549,,,0.3271358609199524,,,
0,599,,,0.4176121950149536,,,
0,649,,,0.5172816514968872,,,
0,699,,,0.39269736409187317,,,
0,749,,,0.6084906458854675,,,
0,799,,,0.44153496623039246,,,
0,849,,,0.4597615599632263,,,
0,899,,,0.2948463559150696,,,
0,949,,,0.32323992252349854,,,
0,999,,,0.24988625943660736,,,
0,1049,,,0.493147611618042,,,
0,1087,,,,0.9679310321807861,0.9677480459213257,0.11028089374303818
0,1087,0.7178017497062683,0.888725996017456,,,,
1,1099,,,0.5379152297973633,,,
1,1149,,,0.3895303010940552,,,
1,1199,,,0.17040804028511047,,,
1,1249,,,0.12233858555555344,,,
1,1299,,,0.1876583993434906,,,
1,1349,,,0.15976788103580475,,,
1,1399,,,0.1312466412782669,,,
1,1449,,,0.04330405220389366,,,
1,1499,,,0.18881137669086456,,,
1,1549,,,0.1358799934387207,,,
1,1599,,,0.13382703065872192,,,
1,1649,,,0.2222082018852234,,,
1,1699,,,0.19612543284893036,,,
1,1749,,,0.10171782970428467,,,
1,1799,,,0.15664631128311157,,,
1,1849,,,0.22596877813339233,,,
1,1899,,,0.17860156297683716,,,
1,1949,,,0.07491955906152725,,,
1,1999,,,0.06724219769239426,,,
1,2049,,,0.02682577632367611,,,
1,2099,,,0.11144470423460007,,,
1,2149,,,0.16574165225028992,,,
1,2175,,,,0.9756321907043457,0.9759037494659424,0.06877322494983673
1,2175,0.9418103694915771,0.17282970249652863,,,,
2,2199,,,0.035821810364723206,,,
2,2249,,,0.07000294327735901,,,
2,2299,,,0.04317240044474602,,,
2,2349,,,0.11606461554765701,,,
2,2399,,,0.14770638942718506,,,
2,2449,,,0.15618538856506348,,,
2,2499,,,0.14944249391555786,,,
2,2549,,,0.008363999426364899,,,
2,2599,,,0.05212981998920441,,,
2,2649,,,0.10405619442462921,,,
2,2699,,,0.0822673961520195,,,
2,2749,,,0.030916325747966766,,,
2,2799,,,0.16274447739124298,,,
2,2849,,,0.27031436562538147,,,
2,2899,,,0.1004909873008728,,,
2,2949,,,0.19312462210655212,,,
2,2999,,,0.12495088577270508,,,
2,3049,,,0.13772477209568024,,,
2,3099,,,0.03561338037252426,,,
2,3149,,,0.1415621042251587,,,
2,3199,,,0.06041570007801056,,,
2,3249,,,0.17478680610656738,,,
2,3263,,,,0.9914942383766174,0.991500198841095,0.024453770369291306
2,3263,0.9640229940414429,0.10624781996011734,,,,
3,3299,,,0.012058919295668602,,,
3,3349,,,0.03991192951798439,,,
3,3399,,,0.04956889897584915,,,
3,3449,,,0.0969284400343895,,,
3,3499,,,0.09851717948913574,,,
3,3549,,,0.06439018249511719,,,
3,3599,,,0.023911956697702408,,,
3,3649,,,0.11930572241544724,,,
3,3699,,,0.0652671530842781,,,
3,3749,,,0.0762547105550766,,,
3,3799,,,0.041735049337148666,,,
3,3849,,,0.011865190230309963,,,
3,3899,,,0.26140865683555603,,,
3,3949,,,0.0608396977186203,,,
3,3999,,,0.07958544045686722,,,
3,4049,,,0.07123095542192459,,,
3,4099,,,0.029403600841760635,,,
3,4149,,,0.01874382235109806,,,
3,4199,,,0.02783186174929142,,,
3,4249,,,0.141372412443161,,,
3,4299,,,0.1142861619591713,,,
3,4349,,,0.07265330851078033,,,
3,4351,,,,0.9948275685310364,0.9948277473449707,0.015326871536672115
